Borough,Crime Type,Count,Adjusted crime types per 1000 population,Population
Barking and Dagenham,Arson and Criminal Damage,1579,7.416418513,"212,906"
Barking and Dagenham,Burglary,1631,7.660657755,"212,906"
Barking and Dagenham,Drug Offences,1606,7.543235043,"212,906"
Barking and Dagenham,Miscellaneous Crimes Against Society,370,1.737856143,"212,906"
Barking and Dagenham,Other Accepted Crime,3148,14.78586794,"212,906"
Barking and Dagenham,Possession of Weapons,266,1.24937766,"212,906"
Barking and Dagenham,Public Order Offences,1285,6.035527416,"212,906"
Barking and Dagenham,Robbery,1139,5.349778776,"212,906"
Barking and Dagenham,Sexual Offences,711,3.33950194,"212,906"
Barking and Dagenham,Theft,3791,17.8059801,"212,906"
Barking and Dagenham,Vehicle Offences,2793,13.11846543,"212,906"
Barking and Dagenham,Violence Against the Person,6881,32.31942735,"212,906"
Barnet,Arson and Criminal Damage,2232,5.638228808,"395,869"
Barnet,Burglary,3707,9.364208867,"395,869"
Barnet,Drug Offences,1281,3.235918953,"395,869"
Barnet,Miscellaneous Crimes Against Society,454,1.146844032,"395,869"
Barnet,Other Accepted Crime,3305,8.34872142,"395,869"
Barnet,Possession of Weapons,274,0.69214816,"395,869"
Barnet,Public Order Offences,1925,4.862719738,"395,869"
Barnet,Robbery,1346,3.400114684,"395,869"
Barnet,Sexual Offences,597,1.508074641,"395,869"
Barnet,Theft,6967,17.59925632,"395,869"
Barnet,Vehicle Offences,6683,16.88184728,"395,869"
Barnet,Violence Against the Person,7991,20.18597061,"395,869"
Bexley,Arson and Criminal Damage,1707,6.875108242,"248,287"
Bexley,Burglary,1821,7.334254311,"248,287"
Bexley,Drug Offences,990,3.987321124,"248,287"
Bexley,Miscellaneous Crimes Against Society,295,1.188141143,"248,287"
Bexley,Other Accepted Crime,2049,8.252546448,"248,287"
Bexley,Possession of Weapons,210,0.84579539,"248,287"
Bexley,Public Order Offences,1248,5.026441175,"248,287"
Bexley,Robbery,403,1.623121629,"248,287"
Bexley,Sexual Offences,404,1.627149226,"248,287"
