,Borough,Crime Type,Count
0,Barking and Dagenham,Arson and Criminal Damage,1579
1,Barking and Dagenham,Burglary,1631
2,Barking and Dagenham,Drug Offences,1606
3,Barking and Dagenham,Miscellaneous Crimes Against Society,370
4,Barking and Dagenham,Other Accepted Crime,3148
5,Barking and Dagenham,Possession of Weapons,266
6,Barking and Dagenham,Public Order Offences,1285
7,Barking and Dagenham,Robbery,1139
8,Barking and Dagenham,Sexual Offences,711
9,Barking and Dagenham,Theft,3791
10,Barking and Dagenham,Vehicle Offences,2793
11,Barking and Dagenham,Violence Against the Person,6881
12,Barnet,Arson and Criminal Damage,2232
13,Barnet,Burglary,3707
14,Barnet,Drug Offences,1281
15,Barnet,Miscellaneous Crimes Against Society,454
16,Barnet,Other Accepted Crime,3305
17,Barnet,Possession of Weapons,274
18,Barnet,Public Order Offences,1925
19,Barnet,Robbery,1346
20,Barnet,Sexual Offences,597
21,Barnet,Theft,6967
22,Barnet,Vehicle Offences,6683
23,Barnet,Violence Against the Person,7991
24,Bexley,Arson and Criminal Damage,1707
25,Bexley,Burglary,1821
26,Bexley,Drug Offences,990
27,Bexley,Miscellaneous Crimes Against Society,295
28,Bexley,Other Accepted Crime,2049
29,Bexley,Possession of Weapons,210
30,Bexley,Public Order Offences,1248
31,Bexley,Robbery,403
32,Bexley,Sexual Offences,404
33,Bexley,Theft,3035
34,Bexley,Vehicle Offences,3467
35,Bexley,Violence Against the Person,5728
36,Brent,Arson and Criminal Damage,2273
37,Brent,Burglary,2796
38,Brent,Drug Offences,2558
39,Brent,Miscellaneous Crimes Against Society,443
40,Brent,Other Accepted Crime,3177
41,Brent,Possession of Weapons,450
42,Brent,Public Order Offences,2055
43,Brent,Robbery,1479
44,Brent,Sexual Offences,689
45,Brent,Theft,5953
46,Brent,Vehicle Offences,4759
47,Brent,Violence Against the Person,9579
48,Bromley,Arson and Criminal Damage,2138
49,Bromley,Burglary,2857
50,Bromley,Drug Offences,1528
51,Bromley,Miscellaneous Crimes Against Society,341
52,Bromley,Other Accepted Crime,2813
53,Bromley,Possession of Weapons,255
54,Bromley,Public Order Offences,1744
55,Bromley,Robbery,550
56,Bromley,Sexual Offences,609
57,Bromley,Theft,5689
58,Bromley,Vehicle Offences,4325
59,Bromley,Violence Against the Person,7116
60,Camden,Arson and Criminal Damage,1765
61,Camden,Burglary,3617
62,Camden,Drug Offences,2593
63,Camden,Miscellaneous Crimes Against Society,380
64,Camden,Other Accepted Crime,2344
65,Camden,Possession of Weapons,381
66,Camden,Public Order Offences,2237
67,Camden,Robbery,2002
68,Camden,Sexual Offences,727
69,Camden,Theft,17542
70,Camden,Vehicle Offences,3892
71,Camden,Violence Against the Person,7346
72,Croydon,Arson and Criminal Damage,2618
73,Croydon,Burglary,2956
74,Croydon,Drug Offences,3273
75,Croydon,Miscellaneous Crimes Against Society,566
76,Croydon,Other Accepted Crime,4904
77,Croydon,Possession of Weapons,561
78,Croydon,Public Order Offences,2392
79,Croydon,Robbery,1234
80,Croydon,Sexual Offences,1104
81,Croydon,Theft,6233
82,Croydon,Vehicle Offences,5183
83,Croydon,Violence Against the Person,10644
84,Ealing,Arson and Criminal Damage,2347
85,Ealing,Burglary,3011
86,Ealing,Drug Offences,2524
87,Ealing,Miscellaneous Crimes Against Society,439
88,Ealing,Other Accepted Crime,4063
89,Ealing,Possession of Weapons,420
90,Ealing,Public Order Offences,2253
91,Ealing,Robbery,1371
92,Ealing,Sexual Offences,762
93,Ealing,Theft,6319
94,Ealing,Vehicle Offences,5582
95,Ealing,Violence Against the Person,9518
96,Enfield,Arson and Criminal Damage,2229
97,Enfield,Burglary,3328
98,Enfield,Drug Offences,1623
99,Enfield,Miscellaneous Crimes Against Society,520
100,Enfield,Other Accepted Crime,3485
101,Enfield,Possession of Weapons,431
102,Enfield,Public Order Offences,1759
103,Enfield,Robbery,1815
104,Enfield,Sexual Offences,685
105,Enfield,Theft,5532
106,Enfield,Vehicle Offences,6239
107,Enfield,Violence Against the Person,8747
108,Greenwich,Arson and Criminal Damage,2360
109,Greenwich,Burglary,2697
110,Greenwich,Drug Offences,1768
111,Greenwich,Miscellaneous Crimes Against Society,531
112,Greenwich,Other Accepted Crime,3318
113,Greenwich,Possession of Weapons,412
114,Greenwich,Public Order Offences,1997
115,Greenwich,Robbery,907
116,Greenwich,Sexual Offences,845
117,Greenwich,Theft,5929
118,Greenwich,Vehicle Offences,4747
119,Greenwich,Violence Against the Person,8945
120,Hackney,Arson and Criminal Damage,1949
121,Hackney,Burglary,3528
122,Hackney,Drug Offences,2411
123,Hackney,Miscellaneous Crimes Against Society,388
124,Hackney,Other Accepted Crime,3056
125,Hackney,Possession of Weapons,533
126,Hackney,Public Order Offences,2120
127,Hackney,Robbery,2177
128,Hackney,Sexual Offences,756
129,Hackney,Theft,10945
130,Hackney,Vehicle Offences,3820
131,Hackney,Violence Against the Person,8473
132,Hammersmith and Fulham,Arson and Criminal Damage,1448
133,Hammersmith and Fulham,Burglary,1972
134,Hammersmith and Fulham,Drug Offences,1560
135,Hammersmith and Fulham,Miscellaneous Crimes Against Society,374
136,Hammersmith and Fulham,Other Accepted Crime,2674
137,Hammersmith and Fulham,Possession of Weapons,259
138,Hammersmith and Fulham,Public Order Offences,1722
139,Hammersmith and Fulham,Robbery,941
140,Hammersmith and Fulham,Sexual Offences,556
141,Hammersmith and Fulham,Theft,7099
142,Hammersmith and Fulham,Vehicle Offences,3523
143,Hammersmith and Fulham,Violence Against the Person,6167
144,Haringey,Arson and Criminal Damage,1955
145,Haringey,Burglary,2952
146,Haringey,Drug Offences,2202
147,Haringey,Miscellaneous Crimes Against Society,472
148,Haringey,Other Accepted Crime,2996
149,Haringey,Possession of Weapons,467
150,Haringey,Public Order Offences,1894
151,Haringey,Robbery,2739
152,Haringey,Sexual Offences,765
153,Haringey,Theft,7412
154,Haringey,Vehicle Offences,5568
155,Haringey,Violence Against the Person,8347
156,Harrow,Arson and Criminal Damage,1160
157,Harrow,Burglary,2129
158,Harrow,Drug Offences,1097
159,Harrow,Miscellaneous Crimes Against Society,228
160,Harrow,Other Accepted Crime,2151
161,Harrow,Possession of Weapons,139
162,Harrow,Public Order Offences,1001
163,Harrow,Robbery,664
164,Harrow,Sexual Offences,492
165,Harrow,Theft,3682
166,Harrow,Vehicle Offences,2913
167,Harrow,Violence Against the Person,5104
168,Havering,Arson and Criminal Damage,1437
169,Havering,Burglary,1994
170,Havering,Drug Offences,1013
171,Havering,Miscellaneous Crimes Against Society,335
172,Havering,Other Accepted Crime,2672
173,Havering,Possession of Weapons,262
174,Havering,Public Order Offences,1236
175,Havering,Robbery,767
176,Havering,Sexual Offences,517
177,Havering,Theft,4216
